""	"logFC"	"P.Value"	"adj.P.Val"
"LOC100505875"	6.39279919963517	6.95018825748311e-09	7.95876393517998e-05
"CDYL2"	-7.01378874388052	1.92738785852237e-08	7.95876393517998e-05
"NCF2"	-5.7068308833279	2.4053249802347e-08	7.95876393517998e-05
"TNS4"	-8.3749030260978	2.76610094193413e-08	7.95876393517998e-05
"FOXA2"	-6.69284595655591	5.26647488477332e-08	9.53338863990249e-05
"GPRC5C"	-8.48807136094899	5.36085469338599e-08	9.53338863990249e-05
"SLAMF7"	-8.58000736340532	5.79839434176014e-08	9.53338863990249e-05
"CARD11"	-5.32469825863878	7.1102685904191e-08	0.000102290101508917
"MARK1"	-3.84526956145442	8.29465365608608e-08	0.000106070187697661
"DTNA"	-4.89592927993703	1.39793016321641e-07	0.000137349152081913
"ACTG2"	-5.10570545412001	1.44018730221932e-07	0.000137349152081913
"GPR115"	-4.04719480114652	1.53240587091769e-07	0.000137349152081913
"CYTIP"	6.28250910964908	1.55142842737411e-07	0.000137349152081913
"BMP5"	6.62863333242269	1.90704417925287e-07	0.000155988115141913
"CCL26"	-3.98378720957915	2.03303651675097e-07	0.000155988115141913
"CCDC3"	4.63356063992453	2.38862338989397e-07	0.000163925523546633
"SLC1A7"	-6.0761452887738	2.45595245395e-07	0.000163925523546633
"CHRDL1"	-5.473191300213	2.56378436340203e-07	0.000163925523546633
"B4GALNT3"	-5.65400237106901	2.86413557717307e-07	0.000168331524218864
"SOX4"	-7.32843933823774	2.93283662958218e-07	0.000168331524218864
"SLC16A12"	-3.87164482464355	3.21112565150684e-07	0.000168331524218864
"PKIB"	-6.05393562241628	3.21773701695631e-07	0.000168331524218864
"KISS1"	-4.53318275683601	3.49414902874215e-07	0.000174844179007798
"CHRNA1"	-6.44343238154391	3.80227395227354e-07	0.000182334878819651
"FAM105A"	-2.64163559477536	4.54248021716525e-07	0.000201961426763218
"FBXL16"	6.01381042012658	4.81108647143571e-07	0.000201961426763218
"KHDRBS3"	-4.06890481094893	4.93503929109662e-07	0.000201961426763218
"TRIM9"	-5.37119392388058	5.03618937650919e-07	0.000201961426763218
"PARP8"	-2.55091034838611	5.29973767333632e-07	0.000201961426763218
"ZG16B"	-6.14286716532533	5.51322429078821e-07	0.000201961426763218
"TMEM156"	-4.12017940214753	5.83905296015013e-07	0.000201961426763218
"SRGN"	-3.94114808248275	6.00673956026133e-07	0.000201961426763218
"MYO1D"	-3.6924601475699	6.21744026990089e-07	0.000201961426763218
"CD24"	-3.07393956780978	6.30235668769187e-07	0.000201961426763218
"CERS4"	2.68706538709444	6.53404520085483e-07	0.000201961426763218
"CXCR4"	-3.97762368219189	6.53894350816071e-07	0.000201961426763218
"SCARA3"	3.98507761035307	6.66828408040612e-07	0.000201961426763218
"ESAM"	-3.76821463057501	6.79328450885354e-07	0.000201961426763218
"TFF2"	-4.48522048373303	6.84377065232904e-07	0.000201961426763218
"DPYSL5"	-6.35823276762205	7.10390086620602e-07	0.000204396987672913
"MANSC1"	-2.35490117552373	7.48243092429087e-07	0.000210037310994302
"MSI2"	-4.71264942096669	8.23304042443785e-07	0.000221240207980712
"SEMA5A"	2.98354241087828	8.2659909142155e-07	0.000221240207980712
"NTN4"	-2.79560196913152	8.70393688828538e-07	0.000222770530881962
"LY6E"	2.52048634243607	8.75953674401506e-07	0.000222770530881962
"LTBP1"	-2.42532487454934	8.90385300249392e-07	0.000222770530881962
"NAP1L5"	-2.44628980200316	9.81820732123664e-07	0.000234564827849651
"EEF1A2"	2.67959776934847	1.01742565277823e-06	0.000234564827849651
"PRSS3"	-3.69315702536307	1.03377017873088e-06	0.000234564827849651
"ISG20"	-2.82758960738063	1.03925997452872e-06	0.000234564827849651
"PELI2"	-2.82293102589206	1.0420544153455e-06	0.000234564827849651
"SRRM3"	2.38061985134315	1.05981154298217e-06	0.000234564827849651
"KIF16B"	-5.59734492753115	1.15584012787273e-06	0.000242081671188434
"ST6GAL1"	-3.7928503655935	1.15721130675053e-06	0.000242081671188434
"THBS2"	3.42795497895226	1.16796171570174e-06	0.000242081671188434
"TSPAN8"	-6.51460393475116	1.1779106426755e-06	0.000242081671188434
"RDM1"	2.43894181524002	1.22569444990562e-06	0.000244754493390169
"PDE9A"	5.30904928228701	1.24798112003509e-06	0.000244754493390169
"EMB"	-6.0845695010492	1.25471501520723e-06	0.000244754493390169
"FAM155A"	-7.42424183140087	1.28633417729812e-06	0.000246740334108735
"TP53I11"	4.42194714578542	1.33893863743172e-06	0.000252620406200028
"HES2"	-2.78043067078226	1.40809590528821e-06	0.000257455467956215
"ARHGDIB"	-2.74505805980798	1.40930528119225e-06	0.000257455467956215
"LOXL1"	-2.06040029224177	1.50148941900331e-06	0.000270010026926705
