""	"logFC"	"P.Value"	"adj.P.Val"
"FBXL7"	-1.69872825569255	3.83897894073909e-07	0.00441828086289662
"PTGER3"	-1.7255927723808	3.49017392099341e-06	0.0160297522877436
"LINC00261"	1.8151717370731	4.17840445418637e-06	0.0160297522877436
"LOC100506085"	-0.992591427883038	2.14196774623239e-05	0.0616297669784713
"CHRDL1"	0.786660235005425	7.20243387252949e-05	0.165785622877884
"SH3YL1"	-0.705105713705117	0.000114060213295417	0.182305794488513
"SLC1A7"	-1.12553939278891	0.000121174004740361	0.182305794488513
"DPY19L2P2"	0.76646820628724	0.000126722248319412	0.182305794488513
"INHBB"	-0.823087046284119	0.000369670477047502	0.469557563097266
"LOC643723"	-0.868426205444289	0.000407991626637646	0.469557563097266
"SIM2"	-0.67148104007733	0.000609045115485176	0.613348597649668
"CST2"	-0.736077777889456	0.000639515437639761	0.613348597649668
"KCNN2"	1.06794220189684	0.000895410830457558	0.717984279189104
"SIGIRR"	0.71225433043054	0.00127245639389438	0.770773717754231
"TSPAN8"	-0.92843680817617	0.00147870755263633	0.810402153490075
"DGKE"	-0.682926382639539	0.0017381897347338	0.832097249227549
"EMB"	-0.605677394655518	0.00178706711470058	0.832097249227549
"FZD8"	0.658717369555669	0.00219330027123273	0.870437683504052
"SDK1"	0.691428833531617	0.00270481021571438	0.983771513746217
"TNXB"	-0.717289826036462	0.00273531049090963	0.983771513746217
"C6orf141"	-0.674325047462989	0.00300896307551354	0.999987953598087
"SLC14A1"	-1.20389332884138	0.00495181703679301	0.999987953598087
"PKIB"	-0.671589137089755	0.00716318728705081	0.999987953598087
"ADORA1"	-0.672183122670731	0.00757586130058937	0.999987953598087
"SNORD104"	-0.93453832136496	0.0078286723089185	0.999987953598087
"SESN3"	1.29314841724221	0.00888172796028042	0.999987953598087
"CCL26"	-0.772526423071668	0.00963817135986957	0.999987953598087
"LOC100505875"	-0.730073090801346	0.0107673584184162	0.999987953598087
"PHGDH"	-1.52909797394934	0.0116558049881888	0.999987953598087
"PTGS2"	0.69659839022089	0.0186839814310646	0.999987953598087
"MTRNR2L10"	0.657068974490125	0.0192261020614129	0.999987953598087
"F13A1"	-0.800124390435929	0.019527884681141	0.999987953598087
"BMP5"	1.10695485176701	0.0208305968051383	0.999987953598087
"AQP1"	-0.73958107615308	0.0271088387342956	0.999987953598087
"HNF1B"	-1.22959588758738	0.0365054750740315	0.999987953598087
"MPP4"	0.662058437305603	0.0371532663959595	0.999987953598087
"WDR69"	-0.666566851771176	0.0382279761882407	0.999987953598087
