#hg38.kgXref.kgID	utr3_percentgc	utr5_percentgc	mrna_percentgc	utr3_length	utr5_length	mrna_length	utr3_energy	utr5_energy	gene_symbol	logFC
uc002qsd.5	58.720930232558146	64.51612903225806	64.98257839721255	172	62	1722	-65.5	-16.2	A1BG	0.0848061572936154
uc062ewl.1	63.06892067620286	62.96296296296296	63.366336633663366	769	189	2020	-361.3	-75.3	A4GALT	0.683757813332734
uc001scr.5	27.27272727272727	60.24096385542168	57.1195652173913	33	166	1840	-0.7	-54.6	AAAS	0.0101658747154856
uc001uhc.4	50.779101741521536	81.55339805825244	55.639324487334136	1091	206	3316	-410.52	-104.4	AACS	0.7978094870980079
uc003isr.4	33.569405099150146	64.62093862815884	41.79566563467493	706	277	2261	-156.33	-116.2	AADAT	0.3698251895804989
uc002aqk.6	42.33780760626399	73.33333333333333	44.456177402323135	1788	105	2841	-554.61	-48.6	AAGAB	-0.244014000332858
uc002sfp.3	37.88666171739669	58.620689655172406	42.21242838254739	8082	377	11345	-2225.58	-140.7	AAK1	-0.192117678625526
uc002vhk.4	53.65853658536586	67.83625730994152	58.324496288441146	410	171	1886	-161.3	-74.8	AAMP	-0.158771101950452
uc002eyn.2	51.40845070422535	65.27777777777779	53.494391716997406	426	144	3477	-129.92	-55.7	AARS	-0.0784645819724012
uc031raq.2	51.06382978723404	66.66666666666666	54.16036308623298	47	36	1322	-9.9	-12.1	AARSD1	-0.278452728752133
uc003hbn.5	22.321428571428577	49.17127071823205	39.52646239554318	112	181	3590	-19.0	-54.8	AASDH	0.488210113837976
uc001pjc.2	32.16860787576262	68.91891891891892	38.443316412859566	1803	222	2955	-409.8	-114.4	AASDHPPT	0.247919658355093
uc003vkb.4	29.959514170040485	61.481481481481474	43.78754347138793	247	135	3163	-45.67	-48.5	AASS	0.21706845332781602
uc002hni.3	58.93719806763285	69.7211155378486	53.339560952825785	207	251	2141	-70.12	-113.7	AATF	0.0702404198306734
uc004bcl.4	34.07787503773015	60.75949367088608	45.45454545454545	3313	395	10494	-812.68	-164.41	ABCA1	0.6101307613179211
uc064xhf.1	64.24501424501425	86.0	63.388317003596676	702	50	8063	-330.6	-23.6	ABCA2	1.04115801857912
uc002cpy.2	58.13366960907944	64.90727532097004	60.43274322893024	793	701	6609	-330.39	-289.7	ABCA3	-0.610304366597904
uc002jig.3	28.177309361438308	58.46153846153847	33.11435523114355	3226	65	8220	-704.7	-22.0	ABCA5	0.113649236505125
uc002lqw.5	65.97222222222221	66.23376623376622	64.68603286384976	144	231	6816	-58.7	-102.5	ABCA7	-0.98537471181685
uc001htp.4	28.991859737006887	81.3953488372093	45.26834327197304	1597	43	3857	-358.29	-18.4	ABCB10	0.0101084940042506
uc002vkc.3	45.29411764705882	74.1324921135647	59.21750663129973	170	317	3016	-48.3	-163.5	ABCB6	0.478311948247151
uc010nls.4	26.26262626262627	52.941176470588246	43.23089700996678	198	68	2408	-35.0	-7.72	ABCB7	0.21898000811473803
uc003wik.6	57.994245787094115	61.29032258064516	60.36728592782404	2433	93	4683	-1035.78	-41.3	ABCB8	-0.29774531060211307
uc001udm.5	59.73884657236126	69.02356902356902	61.956212681262436	919	297	3517	-390.2	-115.9	ABCB9	0.14198265221936
uc010bvi.4	47.894441325098256	87.42857142857143	54.9908424908425	1781	175	6552	-594.67	-87.9	ABCC1	0.32226718324262
uc003ouz.1	49.70059880239521	41.78272980501393	58.74606918238994	334	359	5088	-100.17	-103.1	ABCC10	-0.345774341676855
uc002isl.4	45.437262357414454	82.5	55.84324702589223	1052	80	5716	-321.74	-35.0	ABCC3	1.21416254356362
uc001vmd.5	35.4524627720504	80.0	42.47302620311697	1746	115	5839	-435.12	-51.5	ABCC4	0.35783347040571994
uc003fmg.4	47.144948755490475	61.41078838174275	50.836007431177165	1366	241	5921	-434.37	-103.0	ABCC5	-0.203884555881531
uc004fif.2	66.79649464459591	69.17293233082708	65.82969432314411	1027	399	3664	-413.93	-193.11	ABCD1	-0.144056098876654
uc001dqn.5	31.812255541069103	75.0	37.676653476540416	1534	24	3538	-366.39	-10.1	ABCD3	0.3626500488919579
uc001xpr.3	41.42581888246628	65.97222222222221	51.48185148185147	1038	144	3003	-293.79	-53.8	ABCD4	0.207551807495411
uc003ijy.4	31.942714819427145	57.0873786407767	38.43407294057639	1606	515	3921	-355.42	-180.8	ABCE1	0.465460657727981
uc003nql.4	48.13477737665463	73.21428571428571	52.88710140764148	831	112	3481	-273.3	-51.3	ABCF1	-0.33463561133471503
uc003wjp.5	52.74936061381074	61.81818181818181	52.22786238014664	1564	110	3546	-594.9	-36.9	ABCF2	-0.0872618619525714
uc003fmz.3	59.54692556634305	70.81081081081079	57.85060975609756	309	185	2624	-120.2	-88.5	ABCF3	-0.0929375246884501
uc003hrg.4	33.842239185750635	61.72161172161172	41.23688323286448	1965	546	4479	-462.16	-228.5	ABCG2	0.509617556347679
uc003dyk.6	32.15590742996346	62.96296296296296	37.6061776061776	1642	27	2590	-416.59	-4.4	ABHD10	0.011363400890004998
uc003tzb.4	52.04301075268817	65.71428571428571	59.13688469318949	465	70	1483	-162.8	-15.0	ABHD11	0.0491969154592606
uc002wus.3	60.89644513137558	79.48717948717949	59.75436939064714	647	273	2117	-260.12	-162.4	ABHD12	0.12294781206989501
uc001vqq.4	30.350484712900826	70.43189368770764	34.09516672911202	4023	301	5338	-964.49	-151.9	ABHD13	-0.341830486585275
uc003dco.4	56.741573033707866	80.88235294117648	62.52354048964218	178	68	1062	-65.3	-35.7	ABHD14A	-0.0804051907783156
uc003dcm.4	53.90625	59.169550173010386	57.865786578657854	896	289	1818	-319.89	-95.2	ABHD14B	-0.46613254795032893
uc002hed.3	47.16981132075472	81.28654970760235	56.625835189309576	2014	171	3592	-679.65	-97.2	ABHD15	0.326404925028685
uc011fgc.2	41.444866920152094	54.754098360655725	56.24417520969245	263	305	2146	-67.86	-81.1	ABHD16A	0.0300032637475862
uc002ygx.3	57.894736842105274	79.06976744186046	69.88598256203889	38	43	1491	-7.0	-21.4	ABHD16B	-0.715295424754134
uc002bnk.2	45.88438806400461	57.884615384615394	47.63594733829422	6937	520	8735	-2286.6	-196.1	ABHD2	-0.0784252146227242
uc002ktl.2	27.089337175792505	79.28571428571428	42.10271317829458	694	140	2064	-135.5	-65.2	ABHD3	0.21309717467092998
uc001wgm.4	51.43361270401412	68.57142857142857	52.91146761734997	2267	70	3366	-783.55	-28.7	ABHD4	-0.6524398971522399
uc003cmx.4	30.94777562862669	74.79674796747966	43.19526627218935	517	123	1690	-95.32	-72.0	ABHD5	-0.150798589210566
