#hg38.kgXref.kgID	utr3_percentgc	utr5_percentgc	mrna_percentgc	utr3_length	utr5_length	mrna_length	utr3_energy	utr5_energy	gene_symbol
uc002qsd.5	58.720930232558146	64.51612903225806	64.98257839721255	172	62	1722	-65.5	-16.2	A1BG
uc010qho.3	34.20908593322387	42.75	36.891877692550175	7308	400	9517	-1786.4	-105.3	A1CF
uc001qvk.2	40.54054054054054	45.12987012987013	48.82328654004955	111	308	4844	-34.4	-81.8	A2M
uc001quz.6	45.267489711934154	51.66666666666667	49.165718619643535	729	180	5274	-233.65	-62.2	A2ML1
uc031plq.1	0.0	0.0	66.66666666666666	3	3	1023			A3GALT2
uc062ewl.1	63.06892067620286	62.96296296296296	63.366336633663366	769	189	2020	-361.3	-75.3	A4GALT
uc003ers.2	41.39194139194139	41.089108910891085	46.6403162055336	546	202	1771	-151.4	-52.1	A4GNT
uc001scr.5	27.27272727272727	60.24096385542169	57.1195652173913	33	166	1840	-0.7	-54.6	AAAS
uc001uhc.4	50.779101741521536	81.55339805825243	55.63932448733414	1091	206	3316	-410.52	-104.4	AACS
uc003eze.4	27.21518987341772	42.857142857142854	38.489646772228994	316	126	1642	-58.17	-29.1	AADAC
uc003ezc.4	33.13953488372093	34.862385321100916	38.46671149966375	172	109	1487	-31.7	-19.69	AADACL2
uc057ckc.1	48.71048252911814	64.70588235294117	49.75423265974877	2404	34	3662	-869.62	-16.1	AADACL3
uc001auf.3	41.88034188034188	0.0	48.952380952380956	351	3	1575	-91.13		AADACL4
uc003isr.4	33.56940509915014	64.62093862815884	41.795665634674926	706	277	2261	-156.33	-116.2	AADAT
uc004awm.4	39.91750687442713	0.0	43.206426825008734	2182	3	2863	-613.44		AAED1
uc002aqk.6	42.337807606263986	73.33333333333333	44.45617740232313	1788	105	2841	-554.61	-48.6	AAGAB
uc002sfp.3	37.886661717396684	58.620689655172406	42.21242838254738	8082	377	11345	-2225.58	-140.7	AAK1
uc001oyq.4	43.47826086956522	59.48275862068966	51.78907721280602	46	116	531	-5.0	-39.5	AAMDC
uc002vhk.4	53.65853658536586	67.83625730994152	58.32449628844114	410	171	1886	-161.3	-74.8	AAMP
