	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_130786	1.0	A1BG	alpha-1-B glycoprotein	2.17678774	1.9982331000000002	
NM_015665	8086.0	AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	1.95265248	3.753678	
NM_001087	14.0	AAMP	angio-associated, migratory cell protein	2.80878298	0.637618	
NM_012089	23456.0	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	0.22556417	1.7079054	-4.433328219
NM_014945	22885.0	ABLIM3	actin binding LIM protein family, member 3	2.20524437	4.6110465	
NM_013375	29777.0	ABT1	activator of basal transcription 1	3.28483669	0.637618	
NM_004300	52.0	ACP1	acid phosphatase 1, soluble	2.79054379	0.637618	
NM_177554	52.0	ACP1	acid phosphatase 1, soluble	2.28810292	1.219488	
NM_007099	52.0	ACP1	acid phosphatase 1, soluble	2.28810292	1.219488	
NM_203372	2181.0	ACSL3	acyl-CoA synthetase long-chain family member 3	0.25453336	1.7079054	-3.928758101
NM_004457	2181.0	ACSL3	acyl-CoA synthetase long-chain family member 3	0.25453336	1.7079054	-3.928758101
NM_005736	10121.0	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	2.08844028	2.4738185	
NM_000022	100.0	ADA	adenosine deaminase	3.16675853	1.0218237	
NM_003183	6868.0	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	0.41617328	2.4912595	-2.402845276
NM_015999	51094.0	ADIPOR1	adiponectin receptor 1	1.89443653	2.4738185	
NM_000644	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000643	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000646	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000028	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000642	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000645	178.0	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_003659	8540.0	AGPS	alkylglycerone phosphate synthase	2.21623339	1.9393426	
NM_006408	10551.0	AGR2	anterior gradient 2 homolog (Xenopus laevis)	0.37276402	1.7079054	-2.682662345
NM_015446	25909.0	AHCTF1	AT hook containing transcription factor 1	0.24061646	1.7079054	-4.155991656
NM_001621	196.0	AHR	aryl hydrocarbon receptor	0.29838843	1.7079054	-3.351336377
NM_000476	203.0	AK1	adenylate kinase 1	2.66767461	0.637618	
NM_013411	204.0	AK2	adenylate kinase 2	2.24652653	1.5613079	
NM_001625	204.0	AK2	adenylate kinase 2	3.03058315	0.8855806	
